,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14
Belgium,0.034235200064068515,0.16824001298058414,0.0888605909310255,0.0019481163545182509,0.04883444415498568,0.11536625066658393,0.03947588862050432,0.11604990901099825,0.30272464525300824,0.0020516964761606504,0.0658452639902609,0.001072234357113319,0.014161881474130921,0.0011338656660573772
Bulgaria,0.11477817797723842,0.4170326712012549,0.018920625747173864,0.011175314494287466,0.05698322104297546,0.044453625260004626,0.02284100035371087,0.18977888889654954,0.05917306885955552,0.030575245003808066,0.016823365519623927,0.007943790364012916,0.0002656436061235254,0.009255361673680575
Czech Republic,0.2507512644137327,0.27314283857369714,0.008268273250971073,0.08671252227452295,0.004192325627484665,0.019293712184590306,0.004249449711779888,0.2389047572131917,0.03166009828604983,0.03662524094606785,0.022465757727848694,0.007355058319687149,0.013618618822637459,0.0027600826477383717
Denmark,0.09268289935385651,0.08147842322734385,0.3655988534024562,0.04351383249748611,0.22006746371025732,0.0023259772771487526,0.03781349295951634,0.020328788145221283,0.04300367372453,0.04220296727903529,0.0014467715588413212,0.04821915603567522,0.0013051796364838243,1.252119214807939e-05
Germany,0.21563669084437231,0.08954798056110409,0.123962982728687,0.0004451334443163976,0.19193300972443392,0.24284598295317575,0.06926827881217021,0.047375715707397605,0.00036132256014774575,0.010909241975976784,0.0002532758092415776,0.005930305230713412,0.0007932834290256772,0.0007367962192376373
Estonia,0.47923156628682023,0.13435343500650065,0.12077785353983704,0.11268030207794419,0.003356420805073166,0.050949139102216344,0.01833694312575552,0.031062473529807753,0.0027694474917472358,0.006151275592861908,0.018841004904101597,0.0015491718303262106,0.014380095865000766,0.005560870842007398
Ireland,0.4210257994070511,0.04588706246535922,0.0693428449501474,0.01786548725133391,0.12769326742671067,0.17552193634178456,0.04249651782315167,0.011423400137020149,0.07033442168633669,0.00540417339297986,0.003466703558856571,0.0014811849993354614,1.809282768794398e-05,0.0080391077322447
Greece,0.12591161892227387,0.19191864199560293,0.04989110805362099,0.0491809327694484,0.009624853598641724,0.04163883201620043,0.04709683698083173,0.20424875813864846,0.06655111617005627,0.11630837042340736,0.042414961708482045,0.03445924362653296,0.020180511906270737,0.0005742136899818987
Spain,0.549910720462028,0.03976540076186751,0.11463245351019181,8.931579469453069e-05,0.024604835647622322,0.10864293514771908,0.017204967941772207,0.11667510400887147,0.002406566107512912,0.012473152695857224,0.0005306760917933008,0.0050683104155623505,0.007733938126610103,0.00026162328789708735
France,0.2072823577527465,0.1875592467675143,0.003282496262424382,0.2298472083705043,0.0018709511275434903,0.18398610970948112,0.00651326239387906,0.01041225675307662,0.07294466299964104,0.0536696341921158,9.57256597985643e-05,0.0003795401538775714,0.0011586868546031124,0.0409978610027941
Croatia,0.5950777149824783,0.014258556135230185,0.05959795186096318,0.14371287267362412,0.06219631996658751,0.003114399263826171,0.0289342247707923,0.010122869558183485,0.0052512004607099426,0.013083361350109131,0.02625354709971603,0.0378800388791846,0.00042922363795539907,8.771936063965633e-05
Italy,0.43616731501770245,0.1801175999514299,0.14143727816349794,0.03123688076820243,0.00722767977383868,0.03730072389600944,0.028749496037553796,0.05882791454687939,0.0013922487320032078,0.013373651943345739,0.047513352678925334,0.002968382237583878,0.008476762843038934,0.005210713409988791
Cyprus,0.12038352440590137,0.2561916687635346,0.26268526661352354,0.07483473616641419,0.15723749530093187,0.051411802989400145,0.025856710529599727,0.021894797435272437,0.0011880620600185734,7.429492733657626e-10,0.010517429973851636,0.005075532524628216,0.007479554719737497,0.0052434177742372535
Latvia,0.6107377476611788,0.07104957006906007,0.16011041037384868,0.07610548486509741,0.06257800272828799,0.002135901438008228,0.001595524816442084,0.0001695946074755046,0.0014989298524882525,0.009115866188156607,0.0026815959512752814,4.4065444929685e-06,0.00031249552014595277,0.001904469384042229
Lithuania,0.754823825865369,0.034795543967856724,0.024288150368550164,0.023192536801968866,0.048395881073769687,0.0022075141173177435,0.03762996196804517,0.05927672555208683,0.004135652545201258,0.0031553502442081788,0.006500063324082679,0.0007881212308945859,0.000554051949695446,0.0002566209909535649
Luxembourg,0.2521478348223628,0.2993366477022716,0.0003487882591482791,0.020403186672657926,0.10526655784724041,0.03035346809384497,0.0008992607804754085,0.00018779799898747192,0.2406704989822946,0.0202766078348448,0.0001201367704976075,0.02140921925793353,0.00023205856226663337,0.008347936415174076
Hungary,0.7147716426884096,0.023207972391961793,0.07059947125083028,0.057473530744875996,0.0032361975260268836,0.01166042957133722,0.01717086541338478,0.024367749953189473,0.06739070877977367,0.0010582513126432098,0.00301692795901238,0.003600917918757139,0.00026163465318225076,0.0021836998366153233
Malta,0.4423798982778178,0.22664548755582015,0.041835523002854584,0.0016134053947390536,0.04667131705339923,0.00028122522025516406,0.11617935259867694,0.025910861094007757,0.04774010602881483,0.0019896375500440136,0.006130943755434355,0.0404792362880278,9.6288576213014e-06,0.0021333773224869465
Netherlands,0.3260769628691134,0.016682458197832498,0.07590434318271837,0.11328852650244614,0.00014022380051406674,0.3234409890008239,0.0015181202781879596,0.007492363018165317,0.004997705431186516,0.00979649754852876,0.030845893512724674,0.05464913841848254,0.03515861323084631,8.16500842935141e-06
Austria,0.04777962579791225,0.06792883288327792,0.008145599238670524,0.05996572314297201,0.3160012923149015,0.4094498517310055,0.030444890829203465,0.00377104767963751,0.00021474880542931605,0.05013572427245404,0.002415240596500149,0.0008832774733666667,0.002331001172814045,0.0005331440618550398
Poland,0.1777865664714997,0.1539650012646484,0.366064674604007,0.11138826025791018,0.012139158253638323,0.03590577869593126,0.04753422459616107,0.02007666259122123,0.037451475719963274,0.013359727515067983,0.009968474049930521,0.013019379408874461,0.0007132575379059999,0.0006273590332404662
Portugal,0.03616656118683091,0.12239267806871124,0.11729987752400124,0.4821492670950076,0.02142228450334794,0.04589864953313865,0.015933728599175315,0.010942691805375875,5.729045708042231e-05,0.09867786688179409,0.032971695041660566,0.01100487759868264,0.004810672268497471,0.00027185943669605573
Romania,0.4497533327565542,0.08542691118049822,0.009239403727290995,0.046664278591258296,0.17366885695444664,0.060126682692260555,0.010426114740586532,0.1044822739761833,0.03245965497046587,0.017959359878329216,0.0012069368827834642,0.004508967208064578,0.002877423967593067,0.0011998024736849272
Slovenia,0.13597929029849745,0.12968067121706806,0.4743385183211559,0.00426734613178469,0.12556302319733967,0.015627527711793928,0.05104337205237483,0.00019947674835698323,0.050381634311396445,0.0010063575062665099,0.003116876673245695,0.006930124687259049,0.0010715242089035253,0.0007942569345574084
Slovakia,0.32844807644029156,0.10176317511688275,0.18660577884676302,0.07983736756198509,0.19530231548593135,0.016004270962337135,0.008430959866589247,0.01664191465066822,0.017303612133487686,0.00010531084588955821,0.04322645335917727,0.0009533651929303645,0.005374363310061359,3.036227005378498e-06
Finland,0.03335328964838409,0.3092404236579539,0.09409144557394875,0.17356402027452267,0.14224402261548072,5.945709109660636e-05,0.18197979375606232,0.023775610470459174,0.031672365660030864,0.006120393239574312,0.003010532043438625,0.0005314283517235301,0.00019472056564617658,0.00016249705167824933
Sweden,0.5033473598944203,0.03720351005334652,0.011953095789552936,0.15093710288881246,0.0013708825303119449,0.11489191721235147,0.0849999053559318,0.015262082153629725,0.009904698324347564,3.5268229370637957e-05,0.00034394388518851926,0.06669045831792314,0.002876781938731666,0.0001829934260817118
United Kingdom,0.3600492660817707,0.0037212386754494277,0.18687217653465432,0.130233328985481,0.21517978693286188,0.030937623400410848,0.010959395159069216,0.011415005473030052,0.02796030722422468,0.003136571764523618,0.00573944711929783,1.0825932007308609e-05,0.01081785121130628,0.0029671755059128956
Iceland,0.39070125587250154,0.27892023049054804,0.03876329943165269,0.011531550222927883,0.07869233422798097,0.08638795083327826,0.017303963641594287,0.0022978051379968227,0.02106762948072591,0.02711532814541752,0.020062490975737104,0.006050738396938779,0.011500731578627478,0.009604691564072601
Liechtenstein,0.48999060077972634,0.14220888480339824,0.001546083491176615,0.12469952452409439,0.03414151704243742,0.18526898530582786,0.0023387670636952802,0.002988831036423944,0.0007667894229970772,0.009242118938671648,0.000380574679907823,0.00620057877510232,0.00018738791485492512,3.9356221686143544e-05
Norway,0.5244261746102541,0.12056093253808849,0.056331898635533235,0.005056093251874149,0.002608025669829402,0.03597671081107118,0.046013852780311705,0.09700476378296093,0.048008128007605184,0.002300171093055341,0.02594259592631286,0.005156580239430253,0.008139107283157115,0.022474965370516003
Switzerland,0.5668583281833421,0.1641840021578448,0.006592887532646169,0.08742318504987973,0.00014772827188991918,0.00017496239599222452,0.08810504501317659,0.0019095204429312878,0.05638691887729306,0.019558990919787987,5.336123590294616e-05,0.0006727140029947293,0.005329317122712465,0.0026030387936058037
Serbia,0.041501056159598586,0.24040010405737625,0.010101524060737305,0.023067860212916774,0.19362988529644132,4.174124658478069e-06,0.00620776868818738,0.018964102093541237,0.10885515339356298,0.08787468497419698,0.21743371730665584,0.03762485053949147,0.012968795817939732,0.0013663232746957384
Turkey,0.14026660004959127,0.37329814426154573,0.14053601139433805,7.988007503503458e-05,0.005162298633945628,0.028388018127644202,0.1960110025010362,0.056234265004289435,0.009486566045286604,0.04460048436171452,3.0794275123370885e-07,0.0023730181808433734,0.0010816658986682192,0.002481737523310529
