,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21
bh,0.2636907434973197,1.4737059067673843,-0.6694916041391824,1.4818975742376375,-0.7630016570894023,-1.9622031024393438,-2.2318551784062515,-0.33209397472132113,-1.7368433274069337,1.2056465915827166,0.35240232069666344,0.43535462471327574,-0.7036378085927207,1.477607925736476,-0.04879854429186406,0.779355531235583,0.9647973366249625,-0.6622117524199136,-1.0312740932285722,-0.9970423784201788,1.2167084287952212
bn,-0.34860535838608764,0.1061980094160935,0.3600437760271617,0.878240391834805,0.10027532216224785,0.4355815245578769,-0.19682921637705014,-0.8098755732772038,-1.0945233866758224,-1.5374105890912633,-0.20103354234508158,0.5012544086755565,0.02286512130568699,-0.24368646248055237,-0.32799035030625295,0.7320706495028577,1.680415004022263,0.6459631878931115,1.0618130326972004,0.4934123563352127,1.4285991689844721
cj,1.5697301593939037,0.5085143164736489,-0.6523465951380854,-0.5719199171594719,-0.02255143895827368,1.071987936688413,0.7409031261654101,-2.766264959287289,0.8240038911103338,0.16074430092983616,-1.3528166016858219,0.0814547472376151,-0.47812052235113656,-1.3308651951932353,0.05461448490433695,1.3333269819618918,-0.21902671230961557,0.2571930192664669,-1.0800440550846846,-1.1446299023535487,-1.578397071591923
mm,-0.2035615771101774,0.5491265590169546,-0.3453748167842865,-0.41347645256910287,0.8766017851200368,1.0606790050137895,-0.5474619152188647,-0.2139684640364804,-0.7552546302091626,-0.3354432634450426,-0.9465771150217347,0.16116546489027272,-0.44718031226646265,-0.6133484595231746,-0.41303923371960444,-0.8844587520649737,-0.0634039552915913,0.7082249461446573,0.292414937090771,-0.15012364936243897,-0.7200241972724696
sm,-0.38992505868999905,0.11557114058311778,-0.5425967457556234,0.9879231105277846,1.2181369081463964,0.5899428824191393,-0.8159321187894145,-0.41486515901778037,0.08984764738689609,-1.0917709599829233,-0.7123923221362608,-0.3504610486065603,0.573597918468985,-0.27207556002316974,-0.23828043367872373,-0.25093523901471315,0.10630885774554412,0.13946870675659723,0.016810491218381796,0.5704803256128611,2.258137992353016
sj,-0.388449223806973,0.030745489036235533,-1.01068187540567,0.982329959306277,-0.7127124143923761,-0.6386037927405702,-0.9597992464601685,-0.05770701916599768,0.6977016209675924,-0.5340040265890549,-0.647613356805362,-0.08519761780937819,1.5361551037489711,-0.08610541623753132,-0.26107481543042477,-1.0040224551577113,-0.8343324323180934,1.4450436910804274,-0.8174034470466993,0.3516100892390992,-1.0487745377717426
ab,0.053003529745773284,0.6826609522590938,-1.7555193678417726,0.6858791316832162,-1.3280960488128928,0.9620023985957418,1.549824525279518,-1.3776258517252749,0.6620896565414646,-0.5877759748357911,2.4589539373640226,-0.6013279301394079,0.5336144537219928,0.8547309892096167,-1.154871175464713,0.37660453882163863,1.2435059508460136,1.3481855626546915,0.7733919807912075,0.6062460991980372,-0.400785734324707
bv,1.3148040850537759,0.4114343960407571,0.3318919223656286,0.02112295777847445,-0.17446233457823576,1.9833238154839021,0.9509932498664012,2.1244823820543206,-1.8734141356824172,1.2222049652771363,0.20942587574813318,-1.5392519446700499,-0.3828687978379712,1.718077928514875,-0.2463966324926752,0.7497599282045816,-2.0575956853724677,0.28118854389549425,-1.070358010748076,0.48911552878465836,-0.1289439335454356
cv,-0.21644431587793575,1.2660468164823613,-1.1567384025073502,0.8530320010012533,-1.741017043119088,-0.28934684424955315,0.16913096004190098,0.7284078019884307,-0.2221221962727491,2.38130098007842,-1.1283082149528019,1.0698767309535973,0.3643489657754933,0.08989215270622418,-0.23673347007432216,-1.043551459218901,0.017808195296071395,-1.5689105872660418,0.9758149708423212,-0.44765074142857464,-1.5224955113462129
hr,-0.31503990659986475,0.525164427701366,-1.1891975790659286,0.005202509119487483,-0.0631477467634704,0.7122613040406589,-1.0577576060312377,0.5631005721088715,1.5797890726770674,-0.5676886960793621,-0.8176182560537228,0.40249848197341814,-0.9769647932477395,0.5300164958692187,-0.3419688989551843,-0.3330440868401173,-1.1370192816186366,1.3151966888576834,0.2481737507690143,1.3666905437455044,0.07485138956672265
ms,0.14677161946597053,0.6640681494067905,-0.980282502758176,0.6531442468945654,-0.11027515860490532,0.8103228055361504,-0.05664774660684889,-0.36071379005574006,-0.05198372633927754,0.15714780087484584,-1.1843478004222083,0.14112340714681443,3.237608213581651,-0.27855205406691724,0.5157210119362124,0.20606168711251327,-1.3873332338148125,0.02217218929397944,0.34922509332619517,-2.153911044739564,0.6319290529346621
sb,1.1143957199816925,1.128864792931572,-0.30499047393526996,1.3174274860668493,0.45562589038591095,1.1550636330270618,2.5676659278616865,1.1413239779443567,-0.493506016494049,-2.0204817853123176,-0.09650001980313812,-0.8665315676380331,0.021345596456469194,-0.45861342092195434,-0.08219314878629545,-0.1356163181341944,0.7137610263293106,-1.7666332010764674,-1.491823918553499,-0.054451034181100005,1.0298531664236443
bc,-0.23927041991802017,-0.11618500726848575,0.3434264644371567,-0.8991299984614495,1.4016050302409329,0.2883766590547156,0.4803223265135563,1.3876706035583564,-0.8769268869007018,-0.46679688830564603,0.44275692688431295,1.3336053188719577,0.550505974895097,-0.7423677562134574,1.8167822964830402,0.574148904666784,1.5873942572934294,-0.23395202336507756,0.298595032364168,0.4023611126251034,-0.495895822590224
bt,-1.1567052512758464,0.34965848076488854,0.010949482909801286,-0.08238189701782046,0.4585078108989379,-0.1889215449995553,0.36709891710273024,-1.93734713474834,-0.7920163012275007,-0.6672829080570829,-0.6670260429175491,1.3476010423471099,-0.06947638175084309,0.1136675795402287,1.7257984896903442,-0.08816137945864556,-1.3242595197141964,0.1832611997066127,0.6637565559061357,1.0762528457202516,-0.3895741396446761
is,0.39169989697273794,-0.44189155239366906,0.33727406917255326,-2.316360364280482,-0.30718733600909903,-0.6409553067286493,1.24594964797665,-1.486300777311982,-0.7278200308883657,1.0112724841562097,-2.3709953691806933,-0.038760111955875906,-0.1713084421192564,-0.10952226948050178,0.18505351746801432,0.07352804239800242,0.8544963210439762,-0.8966122853716127,-1.899204621364866,0.6170532650417293,0.8928884420979836
nt,-0.5364300563990354,0.18926372012161552,-0.022829198856894276,-0.5752072703246974,1.4081990580986499,0.6311661314165404,-1.0463253259967031,0.3147037334296166,-1.3907357674011127,-0.23366607408428006,-0.001219705978854558,0.7752065221997183,-0.29702721393020914,0.12010909161226,-0.2022029757181781,0.935953480114539,1.51052519710135,0.2782981810837848,0.08271761480172235,-0.8851183097945962,-1.7367527034413373
sv,-0.6627811016233374,-0.570710151938778,0.11442937562136853,-0.3435514452667589,0.040342943448760625,0.15991692017506742,-0.9672989496426238,-0.5092893347603457,-1.2018400845933463,-0.44235721003759504,-0.13629355646029848,-0.2501060743930155,-1.3891244248967867,0.5230511803373017,-0.7631105602596967,1.2843028673309578,-1.6103216706670453,0.3363817715856622,-0.650150192813063,-0.506352506491145,-0.410355995184486
vs,-1.1140761386368445,0.043693619948544815,-0.8257085859386272,-1.4455475802329414,0.697415109806303,-0.04118366278619044,0.5096423544619202,0.9696942409470722,1.6685845188497248,0.2018563325302343,-0.27746429534524847,2.132856668418934,1.406401851907428,1.2556008224214559,-1.3601580968278943,2.103713998219825,-0.7391892374686625,-0.9120724808464922,0.17449860850773322,0.5113663480360916,1.0696393856374973
br,-0.47570196434341105,-0.027006908359756367,-0.043886656662639356,-0.18404539654148258,0.836886414910567,0.4803695353436646,0.628183207869226,-1.586954915301462,-0.2220064813849486,0.9718660522491236,2.1396109386382944,0.15781101876701473,-1.4523925401634619,0.02992376973883788,-1.971205674829082,-1.9107278475429719,-0.8968887782602666,-0.6997777687968152,0.5293592307416967,-1.7681298284459628,0.6112962359642533
bz,-0.5526549847369921,-0.5145123487293576,0.18901710844069006,-0.1278357306632422,-0.09655845041359395,0.19427284736696976,0.18688430282856988,0.20841109537318264,-0.5299063144416812,0.23564513291335798,-0.12267524756979901,0.5123618887926273,0.4284052201048425,-1.2811223651606223,-1.9212424025001955,-0.8380129200459281,0.39463872806839323,-0.4039182060968709,0.9740257924055898,0.2643023408494747,1.4502999715635456
ct,0.9534130860542455,1.808455099983039,4.331813246968446,-1.116032547773465,-1.3232980873966838,1.2947053796801424,-1.4409963549841938,-0.30246779551040365,1.354306688495786,0.46417344103949276,0.6254168163459906,0.6731010748338677,0.4585773293395639,-0.5128003975243668,-0.5114391870684908,0.29719192057347954,-0.13955182119147097,0.012826304903526434,0.44403237752525826,-0.108072905685289,0.7495513485518515
gl,-0.1712475866292381,-0.45324527547521837,-0.7552346549110395,-1.8644558460965195,1.2308836257593248,-0.14560346380545686,-0.746107172050295,0.1909755101552726,0.9546674665819049,0.4743060391341834,0.03992159708392045,-1.9004195368412788,-0.39400815716796667,0.5569690184477066,0.683966373513833,-0.935594713323228,-1.1918160376787135,-0.3683053122342984,0.7164344416598175,-0.13427623996522772,2.068397345407614
tl,-0.6345220586828474,0.4288383581600004,0.8113969292097589,0.4799756994373132,0.0677173271538828,-0.5092544165324153,0.3504029547920972,-0.017921408931186003,1.8104491547332513,-1.2572260411147897,-0.9253858978024099,-0.7444985556983407,-1.2716726769666256,1.0355505866666732,2.0165118655842074,-1.614224627009315,0.11643567008441301,-0.1809655931755384,0.3884988811745789,-0.8255505524440637,-0.6062736799803674
vn,-0.7303259842597777,-0.26162729976570404,0.7542129485986457,0.3492696416274772,1.9766274064777758,-0.3017284729648188,0.19713419546174457,0.7767684660797919,0.6769910190980118,-0.6994869352044459,0.11184780949900598,0.7132795394894951,-1.1512821076628985,-0.05598452474060564,-2.042683648597305,-0.31346882277166666,-0.2789725033583208,-0.0748199870412455,-0.5693446964220722,-0.6016435882544383,-2.079144891960668
ag,0.30213983903014086,-1.3591200848200886,-0.31905515814286367,-0.5163660480549437,-0.9716018649830668,-0.09458350292125037,-0.08892215955341458,-1.2574637050149364,-0.618010499890223,0.14342270917429234,-0.10213587154751327,-0.573235930023839,-1.2511961463107377,1.753528084181329,0.605048426770364,0.9984104936448569,0.9980782627501313,1.4028113194678147,0.8499743229313885,0.19413554716797632,0.8477066401541519
cl,-1.1674494426884967,0.3357700951060125,1.059885729207127,0.5621476025762233,0.9037521025064421,-1.1577633215392014,2.3088501413439593,-0.14106830585035124,-0.2709428098314201,1.1580205137523827,0.025818616094408452,0.08022706711918869,0.07216612528021647,1.819472848230932,1.4018619174084246,-0.5295757241424851,-0.2639169163604019,-0.3704565140433893,1.4293553804761652,-0.2239312426140403,-0.16119132746755488
db,-0.5817023618995258,-0.9247499368004014,0.12613879764024427,-0.3935996543859845,-0.017881407449892257,0.031941048032725336,-0.44560839172217215,-0.05026288355870894,-0.5934784382417627,0.7512641625509818,0.22857253511514747,-2.1986354510131045,1.0527209997761384,-0.7986895277663754,-0.12821469354347764,0.3029865467542633,-0.7250885960280037,-0.1901360450879855,0.34301554768558673,2.7403525546710554,-1.2699501579106214
gr,-1.028346326600351,-1.2069055631470977,1.1988513443118463,0.589035341625329,-0.3963612746832234,-1.3021783551654071,0.06688136651803825,0.6050379626412096,-1.2200717333205506,-0.8790070622456883,0.007980890933293744,-0.060037273905623495,0.4791461545694448,-0.5906045332041189,-0.2299055930091304,-0.4436282555060626,-0.9489207950947631,1.7168412074653912,-2.2185770938410676,-1.0501833428431477,0.2291592610075633
il,-0.9250480476555387,0.7295439153484768,1.4982544969268259,0.13349816789198568,0.5362224144071398,-0.6920659485580293,0.3192870224049829,-0.8991899009078096,0.5429318282797989,0.9151389013851469,1.4511088722888694,-1.4078361747828456,2.427298520432511,0.43978166134776037,0.3859243740130732,-0.4544722138753107,1.0125518182972313,1.2377914437259856,-1.5334370105030581,0.04415126351200795,-0.45309520712058166
ph,0.4937742851743518,-0.8349011878784391,-0.07433293509610309,-0.4604276688855486,-0.020122180852207586,1.1958272154294414,-1.2742170781017315,0.933787255542892,-1.6216214440545065,0.01326887281376942,0.11323604169978371,-0.9305721879480575,0.8243318969932969,-0.8357461733602647,0.9516346501750172,-0.3861661134140645,0.4211899156222355,0.04168453808775549,2.5610135046171196,-1.2570169350528437,-0.6581237263820987
tr,-0.9819933886699427,-0.5193002273466325,0.04604675237961884,-0.22535323570242816,-0.9570764672040215,-1.2069382097014323,0.625039744454484,0.8748125307392758,-0.28913287950675143,0.6435180774601468,0.2033202766929382,0.9732738687799938,0.022521684634995532,-0.5265130016486825,-0.920375196145744,0.3242733218416904,0.4874039364864544,0.260788689570979,-0.10949494483832853,1.6840660078601133,-0.23815760761211177
if,1.4046772286707612,-4.254448734467419,0.9947416177453015,2.7184922177901987,0.20220715555824137,1.1977212563543032,-0.37586090854580184,-0.23182702523236376,1.48726464043308,1.1052766208081477,-0.5825220514820854,0.9107467401869174,0.3207087868622356,0.9922268906489964,0.08532502442631305,0.14075674924400042,0.5679524259556431,-0.7818544823710699,-0.24290448539260143,-0.05321588665227365,-0.006473745112252444
b,4.358243211570009,-0.0957585633909483,-0.06573994924326831,-1.0195503306951643,0.806428186177639,-2.74878359702705,0.5445707656993978,0.46784873926179915,-0.24678432687708526,-1.0943532755329362,0.6069662257178013,1.2243910802525526,0.7220027311196865,0.7358527121186762,-0.3973963354071772,-0.7117075682939258,-0.7416309791445727,1.3057853983227647,1.035200414345032,0.10041525291651046,-0.2679907966393001
dj,0.03979308320056047,-0.7930762668145774,-0.224887093802757,-1.2108381789594227,-1.0978999357068455,-1.0928471976205152,0.6586685437668324,0.6043486462696568,0.818064478745669,0.027760251000527852,-1.278574284207055,-2.236125479675157,-0.17010717439898299,-0.6084302848535003,-1.6065893567137428,-0.11340101974307173,1.8132955431685132,-0.26322920598764926,0.8877214903596271,-0.8832023235300676,-0.6961323290836492
gj,0.0038628048964579028,-1.1561644051644222,-0.8949940693609606,-0.9377071323017931,-1.152338777455771,0.2548703947704756,-0.06033062017216821,-0.523871714482695,0.3310587057817552,-0.4827560431425039,3.0561399502756377,0.7507013985234486,-0.07300227454015953,-0.8932633766779539,1.868142289759495,0.8973414021205572,-1.0177888959994081,-1.6981267997059153,-0.6283759872234275,-0.13377310016606542,-0.6428363009299105
mh,-0.5730356840584786,-0.4220316495023581,-0.49025440644464996,-0.33473332849571136,-1.8164123798816831,-1.1023651132458694,-0.02271269983652736,1.7999861712456733,1.1944639993444197,-0.7766646035762053,0.3765646271047102,-0.2597883260053118,-0.7874056290184275,-1.413655264355364,0.8619259188321633,1.1855291701050885,-0.24153925953786223,0.43397382480368524,-0.270651492610846,-1.9583061793776964,0.8370196690914133
ot,-0.8213771308752295,-0.7291471226622455,0.10522972409019825,-0.017897713148601082,-0.0849368028692471,-0.49124330408006894,0.202421797594695,-0.2668291040536501,-0.40369763340515574,-0.5172817528582287,0.6137321078084176,0.04997655452433236,0.14509688048144007,-0.7118626897371706,0.041613197342759235,-0.6801028888945058,-0.3070609706158398,-1.2729926048090316,-0.33000154128747894,-0.25414894552518413,0.41229676235378826
vl,-0.015370094798967797,0.5564885263890457,0.6058686809872277,-0.35338600459561836,-1.8940548907472132,0.4031975168086755,-1.2300709812277537,0.14333193109977704,0.009310921487209162,-2.6185596565767755,-0.35293967339153137,-0.1838917750596594,0.010991630908239939,2.2283041088327673,-0.23827868237869382,-0.8078845198524864,0.32904499207893334,-2.1596343173191808,-0.23656438675662977,0.9985008882120039,-1.0652543908614125
ar,0.42183478457435647,1.2671156773063799,-0.0576405726183017,1.3442090401947335,2.239712499400987,-1.3209697580642537,-0.9757594741932566,0.09702939372121128,1.5048400821566805,0.6661914841228241,0.3208942255960806,-1.7983133925608965,-0.48960801040618945,-0.5036310013628977,0.1855626599168922,2.680581667833075,0.31324032961540016,-0.9501011361959687,0.3837231259787082,0.2912283728254819,-0.4352899468484733
cs,-0.3218031916101063,0.734854723483243,0.6844140996283782,1.055719705326657,-1.0586462759678226,0.74526745427836,1.5629101340413265,1.0395041734518027,0.39529551811787084,0.947235868243827,-0.47987902328691473,0.6934548368919076,-1.8002554376766422,-0.984066636338973,0.8396231871312001,0.6440882937835687,-0.2753745755057356,2.1012713165493304,0.7884640318058099,0.3481139025175153,0.5248981324372782
hd,0.4794690894189991,0.30463756417222443,-1.4721631971605478,-1.0776516492898818,0.7619320714922206,1.2746664607775389,-1.1178073609919184,1.0847637039143028,0.9619522932287812,1.5065107901998491,0.7682121079067412,0.8241691251322937,-0.46761319762029374,0.14408777184481952,1.1178883267660653,-2.0806909277429715,1.9932511504829593,0.9300490569802429,-2.1719335392067958,0.389478350506614,0.30498793397032287
tm,1.2405634891319712,0.4703615490267448,-0.049940125097983096,1.3889086059822846,-0.10943908821338172,-1.005925209681717,-0.5744647071367491,-0.5120800945755438,-0.3309741529717463,0.4462413737944841,0.2314355489018972,0.07949876800450852,-0.986159111438941,-2.566945247134813,0.30115109407706003,-1.0605383234224919,-0.7250630615626946,-0.9496904848860583,0.08351290690049057,2.051397641950126,0.37369342732705846
